Fuel Price ($/BTU),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity Sector,1.07553e-05,6.965e-06,1.28047e-05,1.27241e-05,1.2132e-05,1.14677e-05,1.08509e-05,1.03244e-05,1.04915e-05,1.08162e-05,1.0997e-05,1.0939e-05,1.09557e-05,1.13185e-05,1.11833e-05,1.10433e-05,1.09443e-05,1.08967e-05,1.09009e-05,1.09533e-05,1.09953e-05,1.10116e-05,1.10129e-05,1.10196e-05,1.10254e-05,1.09988e-05,1.0982e-05,1.09764e-05,1.09793e-05,1.09869e-05,1.09947e-05,1.09984e-05,1.10363e-05,1.10395e-05,1.10428e-05,1.1046e-05,1.10493e-05,1.10525e-05,1.10558e-05,1.1059e-05,1.10623e-05,1.10655e-05,1.10688e-05,1.1072e-05,1.10753e-05,1.10785e-05,1.10818e-05,1.1085e-05,1.10883e-05,1.10915e-05,1.10948e-05,1.1098e-05
Residential Buildings Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Buildings Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industry Sector,1.07553e-05,6.965e-06,1.28047e-05,1.27241e-05,1.2132e-05,1.14677e-05,1.08509e-05,1.03244e-05,1.04915e-05,1.08162e-05,1.0997e-05,1.0939e-05,1.09557e-05,1.13185e-05,1.11833e-05,1.10433e-05,1.09443e-05,1.08967e-05,1.09009e-05,1.09533e-05,1.09953e-05,1.10116e-05,1.10129e-05,1.10196e-05,1.10254e-05,1.09988e-05,1.0982e-05,1.09764e-05,1.09793e-05,1.09869e-05,1.09947e-05,1.09984e-05,1.10363e-05,1.10395e-05,1.10428e-05,1.1046e-05,1.10493e-05,1.10525e-05,1.10558e-05,1.1059e-05,1.10623e-05,1.10655e-05,1.10688e-05,1.1072e-05,1.10753e-05,1.10785e-05,1.10818e-05,1.1085e-05,1.10883e-05,1.10915e-05,1.10948e-05,1.1098e-05
District Heating Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LULUCF Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoengineering Sector,1.07553e-05,6.965e-06,1.28047e-05,1.27241e-05,1.2132e-05,1.14677e-05,1.08509e-05,1.03244e-05,1.04915e-05,1.08162e-05,1.0997e-05,1.0939e-05,1.09557e-05,1.13185e-05,1.11833e-05,1.10433e-05,1.09443e-05,1.08967e-05,1.09009e-05,1.09533e-05,1.09953e-05,1.10116e-05,1.10129e-05,1.10196e-05,1.10254e-05,1.09988e-05,1.0982e-05,1.09764e-05,1.09793e-05,1.09869e-05,1.09947e-05,1.09984e-05,1.10363e-05,1.10395e-05,1.10428e-05,1.1046e-05,1.10493e-05,1.10525e-05,1.10558e-05,1.1059e-05,1.10623e-05,1.10655e-05,1.10688e-05,1.1072e-05,1.10753e-05,1.10785e-05,1.10818e-05,1.1085e-05,1.10883e-05,1.10915e-05,1.10948e-05,1.1098e-05
