Price ($/vehicle),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
battery electric vehicle,38863.5997741106,35080.2277321009,34331.0909508255,33503.5808587094,32804.8825004751,32386.5307106217,31973.4088322772,31574.5993158328,31239.3904165245,30902.5858316355,30570.5903357742,30304.3346321859,29987.391406268,29693.6468578555,29411.485577541,29145.0074871223,28869.1542269922,28580.124531761,28291.0155007063,28009.5625682797,27727.7301008322,27463.1983436887,27210.3403964145,26954.7734560466,26710.3187652215,26484.1497815605,26232.5663868677,25989.7709725842,25769.3694484226,25523.5720413907,25288.0838739363,24191.9298677112,23855.3849932847,23518.8401188582,23182.2952444318,22845.7503700053,22509.2054955789,22172.6606211525,21836.115746726,21499.5708722996,21163.0259978732,20826.4811234466,20489.9362490202,20153.3913745938,19816.8465001673,19480.3016257409,19143.7567513145,18807.211876888,18470.6670024616,18134.1221280351,17797.5772536086
natural gas vehicle,28672.6047696785,28466.3347868369,28589.2614422253,28781.1068174051,28928.9675251857,29073.8866051525,29207.5861067305,29328.6809281164,29457.7373460839,29580.6240793836,29694.4574622051,29817.3171073352,29912.1129244421,30038.18815464,30111.6634533465,30171.2740072854,30223.8196261607,30275.4697492037,30323.4863344909,30372.7877118315,30407.4373907605,30446.754588815,30479.6640632334,30507.1056022042,30535.1857714752,30561.7239035143,30586.1332996023,30611.752980122,30637.552277839,30660.2805008445,30683.2024877055,31094.3962723127,31168.5537816631,31242.7112910136,31316.8688003641,31391.0263097146,31465.1838190651,31539.3413284155,31613.498837766,31687.6563471165,31761.813856467,31835.9713658174,31910.1288751679,31984.2863845184,32058.4438938689,32132.6014032194,32206.7589125698,32280.9164219203,32355.0739312708,32429.2314406212,32503.3889499717
gasoline vehicle,21860.0,21099.4410424782,21247.5174498539,21346.1981966769,21464.7838980623,21585.895120364,21663.3129865136,21705.3118949445,21753.8742049557,21793.2675729928,21814.0300112359,21852.6545631922,21863.4121420669,21886.2295203799,21896.3215885756,21905.1062540765,21899.8723168731,21885.8314345371,21868.0362966221,21852.977497935,21830.8371225644,21816.2527782458,21806.1620754345,21791.0227344002,21779.0873886793,21776.2160669824,21756.5364400854,21740.5562249112,21737.1758764329,21716.6859106491,21700.717702587,21892.0819067639,21902.0803236921,21912.0787406203,21922.0771575485,21932.0755744766,21942.0739914048,21952.072408333,21962.0708252612,21972.0692421893,21982.0676591175,21992.0660760457,22002.0644929738,22012.062909902,22022.0613268302,22032.0597437584,22042.0581606865,22052.0565776147,22062.0549945429,22072.0534114711,22082.0518283992
diesel vehicle,27645.9659887631,26966.7296499686,27182.3790510434,27287.3804241484,27418.0636436873,27554.7631536757,27619.9490898435,27639.6855873643,27670.1787269218,27689.9278539964,27680.6224510501,27699.3322993394,27674.5887343884,27669.8040427362,27660.3106050711,27655.6758215752,27629.2981645359,27585.841953296,27536.2938448774,27490.7704327042,27433.3505582532,27389.4259220381,27352.2648808731,27308.6713933247,27270.799982712,27247.3233042349,27196.8088067857,27152.5888695446,27126.8408513219,27074.7123550197,27031.7255665161,27255.855047639,27244.5434195487,27233.2317914584,27221.920163368,27210.6085352777,27199.2969071874,27187.9852790971,27176.6736510067,27165.3620229164,27154.0503948261,27142.7387667358,27131.4271386455,27120.1155105551,27108.8038824648,27097.4922543745,27086.1806262842,27074.8689981938,27063.5573701035,27052.2457420132,27040.9341139229
plugin hybrid vehicle,28770.9337258924,29164.2490420674,29122.1702538381,29265.4238492342,29297.4622155418,29384.7946687179,29420.4799257223,29440.8068920198,29483.2897319236,29538.0497974734,29599.2707869519,29677.5924800739,29745.0040563309,29835.3131301436,29881.5070550262,29918.2709710046,29951.247895322,29977.9910300282,29995.2463987211,30008.0660416981,30007.0750628674,30011.6962419647,30009.4182545678,30002.1231600746,29994.871686581,29987.1319985068,29978.0479280798,29970.4734232354,29963.1346694429,29956.7284163239,29948.5742020372,30250.6197766222,30283.8108413074,30317.0019059927,30350.1929706779,30383.3840353631,30416.5751000484,30449.7661647336,30482.9572294188,30516.1482941041,30549.3393587893,30582.5304234745,30615.7214881598,30648.912552845,30682.1036175302,30715.2946822155,30748.4857469007,30781.6768115859,30814.8678762712,30848.0589409564,30881.2500056416
LPG vehicle,28024.8794061806,28483.8698826419,28457.4967790341,28507.0746449718,28574.302432096,28699.5543516434,28804.1988349398,28857.9066476121,28905.4548981837,28956.9335045292,29005.1955240996,29053.1826104261,29094.1126362257,29143.229195903,29176.4703434324,29206.4843298312,29237.5068453894,29268.7738929194,29298.0741103194,29329.1243835608,29355.8332229569,29382.6022040001,29409.1524280632,29434.3233596258,29460.3686582119,29487.2037289772,29513.8140946874,29541.3325331793,29568.8099960435,29596.6231946961,29614.1601024578,29787.7742719691,29830.0584527235,29872.342633478,29914.6268142324,29956.9109949868,29999.1951757413,30041.4793564957,30083.7635372502,30126.0477180046,30168.331898759,30210.6160795135,30252.9002602679,30295.1844410224,30337.4686217768,30379.7528025312,30422.0369832857,30464.3211640401,30506.6053447946,30548.889525549,30591.1737063034
hydrogen vehicle,50764.0517818144,50753.0107791769,49655.2305528124,48688.844382325,47712.6903533008,46702.3106491202,45814.6818596676,44997.7964418777,44218.6230842203,43476.2006115443,42768.4256781463,42094.7286415151,41449.583937657,40839.0588620628,40239.8484125007,39665.3145554799,39118.0846205805,38596.1784373319,38098.5255973197,37624.4959322,37171.372345873,36740.0790603226,36328.7141906421,35936.3919643456,35562.6006485987,35206.2999338383,34866.4710349895,34542.7581906458,34233.997597068,33939.9825766023,33646.2507471914,31397.9552846848,30817.0762733227,30236.1972619607,29655.3182505987,29074.4392392368,28493.5602278748,27912.6812165128,27331.8022051507,26750.9231937889,26170.0441824268,25589.1651710648,25008.2861597028,24427.4071483408,23846.5281369789,23265.6491256169,22684.7701142548,22103.8911028928,21523.012091531,20942.1330801689,20361.2540688069
