Price ($/vehicle),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
battery electric vehicle,1957.5015405116,1844.9131417759,1732.3247430403,1619.7363443046,1507.1479455689,1394.5595468332,1281.9711480976,1169.3827493619,1056.7943506262,944.2059518906,831.6175531549,782.805965256,733.994377357,685.1827894581,636.3712015592,587.5596136602,538.7480257613,489.9364378624,441.1248499634,392.3132620645,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656,343.5016741656
natural gas vehicle,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001
gasoline vehicle,539.8472311186,543.8948258459,547.9424205731,551.9900153004,556.0376100276,560.0852047549,564.1327994821,568.1803942094,572.2279889366,576.2755836639,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911,580.3231783911
diesel vehicle,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001
plugin hybrid vehicle,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001
LPG vehicle,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001
hydrogen vehicle,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001,999999999.0000001
