Policy:,livestock measures,Unit: g CO2e,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
-10,0,243808312749.3149,305622011902.5378,367435711055.7607,429249410208.9835,491063109362.20654,552876808515.4294,564997668457.5045,577118528399.5796,589239388341.6547,601360248283.7297,613481108225.8048,620938964401.9167,628396820578.0287,635854676754.1405,643312532930.2524,650770389106.3644,520616311285.0915,390462233463.81866,260308155642.54572,130154077821.27286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,10,698378238263.758,632853308667.0065,567328379070.2549,501803449473.50336,436278519876.75183,370753590280.00024,375790232221.20245,380826874162.40466,385863516103.6069,390900158044.8091,395936799986.0113,400077664051.39374,404218528116.77625,408359392182.1587,412500256247.54114,416641120312.9236,508805916440.49725,600970712568.0712,693135508695.6448,785300304823.2185,877465100950.7924,883855597738.5387,890246094526.285,896636591314.0314,903027088101.7777,909417584889.524,914139281549.01,918860978208.4961,923582674867.982,928304371527.4681,933026068186.9541,936787480772.8214,940548893358.6886,944310305944.5558,948071718530.4232,951833131116.2902
10,20,204742721081.5659,207002431881.0029,209262142680.4399,211521853479.8769,213781564279.3139,216041275078.75092,218098939595.86038,220156604112.96985,222214268630.0793,224271933147.18878,226329597664.29825,227735869863.30298,229142142062.30774,230548414261.31244,231954686460.3172,233360958659.32193,234208125192.03055,235055291724.73917,235902458257.44775,236749624790.15637,237596791322.865,238005816918.38876,238414842513.91254,238823868109.43634,239232893704.9601,239641919300.48383,239451517153.12357,239261115005.7632,239070712858.40292,238880310711.0426,238689908563.68225,238052856122.66638,237415803681.6505,236778751240.63464,236141698799.61874,235504646358.60287
20,30,346179673290.0978,351094456688.0783,356009240086.0588,360924023484.0393,365838806882.0198,370753590280.00024,375790232221.20245,380826874162.40466,385863516103.6069,390900158044.8091,395936799986.0113,340085535854.7412,284234271723.4711,228383007592.20108,172531743460.93103,116680479329.66096,117104062596.01527,117527645862.36958,117951229128.72388,118374812395.07819,118798395661.4325,119002908459.19438,119207421256.95627,119411934054.71817,119616446852.48006,119820959650.24191,119725758576.56178,119630557502.8816,119535356429.20146,119440155355.5213,119344954281.84113,119026428061.33319,118707901840.82526,118389375620.31732,118070849399.80937,117752323179.30144
30,40,204742721081.5659,207002431881.0029,209262142680.4399,211521853479.8769,213781564279.3139,216041275078.75092,218098939595.86038,220156604112.96985,222214268630.0793,224271933147.18878,226329597664.29825,287727998059.9555,349126398455.6128,410524798851.27,471923199246.9273,533321599642.5847,565915835796.0316,598510071949.4786,631104308102.9257,663698544256.3726,696292780409.8196,706735439459.2458,717178098508.6721,727620757558.0984,738063416607.5247,748506075656.9509,759439512474.7893,770372949292.6278,781306386110.4663,792239822928.3048,803173259746.1432,814876143741.3977,826579027736.6523,838281911731.9069,849984795727.1616,861687679722.4161
40,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125780030648.16586,251560061296.33173,377340091944.4975,503120122592.66345,628900153240.8291,634155641569.4645,639411129898.0997,644666618226.7351,649922106555.3704,655177594884.0057,659318456517.7052,663459318151.4045,667600179785.104,671741041418.8035,675881903052.5028,540705522442.00226,405529141831.5017,270352761221.0011,135176380610.50052,0.0
50,60,101935683527.37204,81548546821.89763,61161410116.42322,40774273410.94881,20387136705.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138721411195.52533,277442822391.05066,416164233586.576,554885644782.1013,693607055977.6266
60,70,0.0,21969695400.708584,43939390801.41717,65909086202.12576,87878781602.83434,109848477003.54292,111524444927.14125,113200412850.7396,114876380774.3379,116552348697.93625,118228316621.53458,94582653297.22766,70936989972.92075,47291326648.61382,23645663324.30691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,80,12417439786.822784,12628447903.076433,12839456019.33008,13050464135.583729,13261472251.837378,13472480368.091024,13684384299.205671,13896288230.320318,14108192161.434965,14320096092.549612,14532000023.664257,39790016458.846306,65048032894.028366,90306049329.2104,115564065764.39246,140822082199.57452,115876321720.0575,90930561240.54045,65984800761.023415,41039040281.5064,16093279801.989376,16198111803.25267,16302943804.515963,16407775805.779253,16512607807.042545,16617439808.30584,16687327860.487177,16757215912.668516,16827103964.849852,16896992017.031195,16966880069.212526,17018624037.83528,17070368006.458033,17122111975.080784,17173855943.703537,17225599912.32629
80,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13976704394.677652,27953408789.355305,41930113184.03296,55906817578.71061,69883521973.38826,70003809647.40178,70124097321.4153,70244384995.42882,70364672669.44232,70484960343.45584,70428288650.23325,70371616957.01067,70314945263.78807,70258273570.56548,70201601877.34288,56161281501.874306,42120961126.40573,28080640750.93715,14040320375.468575,0.0
90,100,72636482442.2672,73511874188.55629,74387265934.84538,75262657681.13445,76138049427.42354,77013441173.71263,77830368807.5648,78647296441.41698,79464224075.26917,80281151709.12134,81098079342.97351,81688095486.99576,82278111631.01797,82868127775.0402,83458143919.06244,84048160063.08467,96750976326.7988,109453792590.51292,122156608854.22705,134859425117.9412,147562241381.6553,121373281066.9854,95184320752.31552,68995360437.64561,42806400122.97574,16617439808.30584,16687327860.487177,16757215912.668516,16827103964.849852,16896992017.031195,16966880069.212526,30871903611.678177,44776927154.143814,58681950696.60946,72586974239.0751,86491997781.54076
100,150,12417439786.822784,12628447903.076433,12839456019.33008,13050464135.583729,13261472251.837378,13472480368.091024,13684384299.205671,13896288230.320318,14108192161.434965,14320096092.549612,14532000023.664257,14707616094.423393,14883232165.182528,15058848235.941666,15234464306.7008,15410080377.459936,55967518780.82781,96524957184.19568,137082395587.5636,177639833990.93146,218197272394.29932,246339514268.25238,274481756142.2054,302623998016.1584,330766239890.1114,358908481764.06445,318778433527.60406,278648385291.14374,238518337054.68332,198388288818.223,158258240581.76263,159051424943.08136,159844609304.40005,160637793665.71878,161430978027.03748,162224162388.3562
150,200,12417439786.822784,15322943976.694637,18228448166.56649,21133952356.438343,24039456546.3102,26944960736.18205,27368768598.411343,27792576460.640636,28216384322.86993,28640192185.099224,29064000047.328514,29415232188.846786,29766464330.365055,30117696471.88333,30468928613.4016,30820160754.919872,31093440524.731647,31366720294.543427,31640000064.355198,31913279834.166973,32186559603.978752,32396223606.50534,32605887609.031925,32815551611.558506,33025215614.08509,33234879616.61168,74650911757.91891,116066943899.22615,157482976040.53336,198899008181.84058,240315040323.14783,243730144484.51004,247145248645.87213,250560352807.23434,253975456968.59653,257390561129.95874
200,250,24834879573.64557,22562399732.53466,20289919891.42375,18017440050.312843,15744960209.201935,13472480368.091024,13684384299.205671,13896288230.320318,14108192161.434965,14320096092.549612,14532000023.664257,14707616094.423393,14883232165.182528,15058848235.941666,15234464306.7008,15410080377.459936,15546720262.365824,15683360147.271713,15820000032.177599,15956639917.083487,16093279801.989376,16198111803.25267,16302943804.515963,16407775805.779253,16512607807.042545,16617439808.30584,16687327860.487177,16757215912.668516,16827103964.849852,16896992017.031195,16966880069.212526,13573504055.370024,10180128041.527517,6786752027.685011,3393376013.8425055,0.0
250,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955071984.6993215,3910143969.398643,5865215954.097965,7820287938.797286,9775359923.496609,9816799893.520525,9858239863.544441,9899679833.568357,9941119803.592276,9982559773.616192,10012351788.591309,10042143803.566427,10071935818.541542,10101727833.51666,10131519848.491777
350,400,0.0,0.0,0.0,0.0,0.0,0.0,1710015967.3391426,3420031934.678285,5130047902.017428,6840063869.35657,8550079836.695712,8652895869.465322,8755711902.234932,8858527935.004541,8961343967.77415,9064160000.54376,9144575988.651915,9224991976.760069,9305407964.868221,9385823952.976376,9466239941.08453,7572991952.867623,5679743964.650718,3786495976.4338117,1893247988.2169058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,450,7303519930.501313,7427839977.477539,7552160024.453767,7676480071.429995,7800800118.406221,7925120165.382449,6340096132.305959,4755072099.229469,3170048066.152979,1585024033.0764894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
