Policy:,coal mining - methane capture,Unit: g CO2e,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
50,60,41765280.18432,69221572.1355648,96677864.0868096,124134156.0380544,151590447.9892992,179046739.940544,279921645.2986017,380796550.65665936,481671456.01471704,582546361.3727747,683421266.7308323,934872106.1832548,1186322945.6356773,1437773785.0880997,1689224624.540522,1940675463.9929447,2076681958.1621125,2212688452.3312807,2348694946.500448,2484701440.669616,2620707934.838784,2641124304.1512003,2661540673.463616,2681957042.7760324,2702373412.088448,2722789781.400864,2748530041.6592255,2774270301.9175873,2800010562.175949,2825750822.434311,2851491082.6926723,3045536435.907818,3239581789.1229634,3433627142.3381085,3627672495.553254,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399,3821717848.768399
60,70,0.0,0.0,0.0,0.0,0.0,0.0,8752983.179852802,17505966.359705605,26258949.539558407,35011932.71941121,43764915.89926401,71180930.24461439,98596944.58996479,126012958.93531518,153428973.28066558,180844987.626016,521476506.95389766,862108026.2817794,1202739545.609661,1543371064.9375427,1884002584.265424,1838661523.652173,1793320463.0389218,1747979402.4256704,1702638341.8124194,1657297281.199168,1761810612.9812608,1866323944.7633538,1970837276.5454466,2075350608.3275394,2179863940.1096325,2040783470.72945,1901703001.3492675,1762622531.969085,1623542062.5889027,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202,1484461593.2087202
70,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17772373.394137602,35544746.788275205,53317120.18241281,71089493.57655041,88861866.970688,451227371.8138369,813592876.6569858,1175958381.5001345,1538323886.3432834,1900689391.1864324,1855619274.1961954,1810549157.2059586,1765479040.2157218,1720408923.2254848,1675338806.235248,1780869955.5462592,1886401104.8572702,1991932254.1682816,2097463403.4792924,2202994552.7903037,2044693182.1838074,2117779549.418457,2190865916.653137,2263952283.887787,2337038651.122467,2410125018.3571167,2483211385.5917664,2556297752.8264465,2629384120.061096,2702470487.295746,2775556854.530426,2848643221.7650757,2921729588.999756,2994815956.2344055,3067902323.469055,3140988690.7037354,3214075057.938385,3287161425.1730347,3360247792.407715,3433334159.6423645
80,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8869739.831411202,17739479.662822403,26609219.4942336,35478959.325644806,44348699.157056004,411297106.3003936,778245513.4437311,1145193920.5870688,1512142327.7304063,1879090734.8737442,1841654697.549341,1804218660.2249377,1766782622.9005346,1729346585.5761316,1691910548.2517283,1366060286.469101,1417839928.357956,1469619570.246811,1521399212.1356812,1573178854.0245361,1624958495.913391,1676738137.802246,1728517779.691101,1780297421.579956,1832077063.468811,1883856705.3576658,1935636347.2465212,1987415989.135376,2039195631.0242465,2090975272.9131012,2142754914.801956,2194534556.690811,2246314198.579666,2298093840.468521,2349873482.357376
90,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9010150.7957888,18020301.5915776,27030452.3873664,36040603.1831552,45050753.978944,406746634.0493024,768442514.1196609,1130138394.1900194,1491834274.2603776,1853530154.3307362,602203060.1614227,626067123.1237717,649931186.0861206,673795249.0484695,697659312.0108185,721523374.9731674,745387437.9355164,769251500.8978653,793115563.8602142,816979626.8225632,840843689.7849121,864707752.747261,888571815.70961,912435878.6719589,936299941.6343004,960164004.5966492,984028067.558998,1007892130.521347,1031756193.4836959,1055620256.4460449
100,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9134698.775596801,18269397.551193602,27404096.326790404,36538795.102387205,45673493.877984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
