Policy:,crop and rice measures,Unit: g CO2e,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Lower Bound,Upper Bound,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
-1150,-1100,0.0,0.0,0.0,0.0,0.0,0.0,10918208003.044138,21836416006.088276,32754624009.13241,43672832012.17655,54591040015.220695,43672832012.17655,32754624009.13241,21836416006.08828,10918208003.04414,0.0,0.0,0.0,0.0,0.0,0.0,3685879402.3126593,7371758804.625319,11057638206.937979,14743517609.250637,18429397011.563297,26129885526.311478,33830374041.059654,41530862555.807846,49231351070.55602,56931839585.304214,45545471668.24337,34159103751.18253,22772735834.121685,11386367917.060844,0.0
-1100,-1050,0.0,134736137.19743726,269472274.3948745,404208411.5923118,538944548.789749,673680685.9871863,538944548.789749,404208411.59231174,269472274.39487445,134736137.19743723,0.0,0.0,0.0,0.0,0.0,0.0,15714292058.358664,31428584116.717327,47142876175.07599,62857168233.434654,78571460291.79332,74561392223.87503,70551324155.95674,66541256088.03846,62531188020.12016,58521119952.20188,46816895961.761505,35112671971.32114,23408447980.88075,11704223990.440374,0.0,0.0,0.0,0.0,0.0,0.0
-1050,-1000,0.0,1945995797.571915,3891991595.14383,5837987392.715745,7783983190.28766,9729978987.859575,7783983190.28766,5837987392.715746,3891991595.143831,1945995797.5719154,0.0,12208672285.079964,24417344570.159927,36626016855.23989,48834689140.319855,61043361425.39982,48834689140.319855,36626016855.23989,24417344570.159927,12208672285.079964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1000,-950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-950,-900,0.0,12503008127.212534,25006016254.425068,37509024381.637596,50012032508.850136,62515040636.06266,50012032508.850136,37509024381.637596,25006016254.42507,12503008127.212536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-900,-850,11192757992.586393,8954206394.069113,6715654795.551836,4477103197.034557,2238551598.517279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-850,-800,0.0,5824818682.150548,11649637364.301096,17474456046.451645,23299274728.602192,29124093410.75274,23299274728.602192,17474456046.45164,11649637364.301094,5824818682.150547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-800,-750,0.0,4866411578.18521,9732823156.37042,14599234734.555632,19465646312.74084,24332057890.92605,19465646312.74084,14599234734.55563,9732823156.370419,4866411578.185209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-750,-700,20117889291.8366,16323782939.967068,12529676588.097532,8735570236.228,4941463884.358467,1147357532.4889328,917886025.9911462,688414519.4933597,458943012.9955732,229471506.4977866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41861463.91982852,83722927.83965704,125584391.75948557,167445855.67931408,209307319.5991426
