Unit: dimensionless (MW-peak/MW-avg),summer,winter
LDVs,1.9846652397,2.0647333771
HDVs,1.9846652397,2.0647333771
aircraft,1.9846652397,2.0647333771
rail,1.9846652397,2.0647333771
ships,1.9846652397,2.0647333771
motorbikes,1.9846652397,2.0647333771
