Annual Distance (miles/vehicle),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDVs,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959,7155.042959
HDVs,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127,51.04320127
aircraft,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821,446078.0821
rail,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415,136558.4415
ships,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
motorbikes,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799,11606.05799
