Unnamed: 0,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling and ventilation,470922953.7454271,508619730.41003036,555983976.3811198,574109552.7623515,583755906.5727782,592763116.9155889,599189924.4009086,608962811.3956656,628234947.8566195,644586245.7655013,661392561.6288495,678758087.348207,683176428.6538529,679151824.4139396,677650207.9338405,669671401.8079609,646062084.5835662,671830728.9700402,694640249.0997634,714118126.8579853,730814847.692869,744738755.4970378,756272492.340485,766274761.9472132,774448953.4731929,784454040.5426826,812234861.198551,848603415.9175498,861402792.5028224,874208853.6665622,887023512.1603832,900380649.598738,913676107.7277864,926850047.9873319,939756865.3598406,952285969.7950767,852883233.2206099,853691432.2119585,854028060.4493798,853718642.08491,852955101.295596,851521640.2169422,849223091.9299209,846115813.4458468,842222638.6329417,837570099.6461354,832178141.4302948,826062063.2375213,819233688.5629004,811703225.2206409,803481098.0052047,794576885.1769269,784999704.0498934,774758514.9829545,763861115.7204006,752315705.3030304
envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lighting,211805736.45512012,215324234.47513127,222776619.97055748,231074303.09925488,238285254.94023702,365829811.9268363,306698292.2771195,271815429.57801616,269737787.0698656,257733938.6904896,239239184.40569022,233337525.63246867,229032697.53680116,224862765.34702572,221893585.4411191,227789393.89302024,215132943.2720612,199188204.44553632,186174119.94254,176294714.3022239,167522171.94881216,159839088.412643,153649829.47688368,148212875.0578175,142479425.40813398,136756419.21930063,123980205.11116421,118233201.05466795,108784987.16500978,99237122.4888525,89592601.62252477,79901420.82751395,70100492.55538762,60191209.03951918,50172943.01896115,40052862.83495432,26393806.514564008,17111160.692170132,7981133.251216893,7904155.093316885,7824427.622720114,7740064.499011202,7649433.384152336,7553205.733964506,7451732.567451616,7345384.986885018,7234463.88622623,7119219.718011344,6999864.651134222,6876589.955532598,6749582.277734316,6619014.974672976,6485051.84968845,6347850.035768975,6207552.094856715,6064299.213313921
appliances,1041345820.1454948,1092948576.908458,1130038471.1327026,1180057514.3715632,1220582059.928196,1292923194.217493,1343110115.3709831,1332880687.6638448,1333204591.7323618,1342725781.6099486,1371199677.8177404,1395310922.4937706,1405095120.4495802,1395945501.5868306,1431701953.055473,1456276594.2043078,1489353705.0227501,1509512420.8830125,1537487396.1332085,1560166131.228915,1575893813.763609,1585232020.8512664,1610698867.6175628,1629556659.8061285,1640414454.9815826,1651079323.9390059,1731036708.9606824,1805778065.8837497,1830263365.6245139,1854738253.4066906,1879207467.6670594,1904801103.543305,1930238713.0884097,1955395346.4557757,1979965980.0795991,2003720814.6836061,1792244286.8441968,1791662836.5266376,1790131386.417024,1787287232.6263776,1783535483.8155286,1778427668.2928846,1771560372.6623807,1763056017.778153,1752966544.510734,1741351216.654756,1728255234.2140598,1713713851.1172943,1697754863.8101609,1680402510.2198014,1661681285.977267,1641613752.896767,1620221351.1366606,1597525037.6515481,1573543222.6042047,1548295005.4113934
other component,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
