Unnamed: 0,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling and ventilation,2634950630.138583,2749316899.430818,2889317470.575186,3018527426.4575057,3148000471.348383,3264538853.7040105,3386899632.931283,3502186419.1963205,3605736159.1402,3709280636.5035987,3822447131.971967,3932038177.402827,4041764590.465179,4155652306.5751157,4278508371.5780625,4404519533.826898,4548355644.384519,4722615336.834683,4900688852.187505,5090229392.023507,5298753696.978906,5517781764.868566,5706774426.662661,5883135213.454146,6043375049.049761,6195682534.241639,6445595479.2565365,6656864024.480265,6874951751.090295,7100285913.149922,7333240015.45189,7573965730.135,7822189270.633842,8077761186.913065,8339758370.216656,8607504297.85196
envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lighting,118370682.06977569,122692573.6233895,128690135.92109752,134466025.10598776,140964607.761074,155181519.84105986,162804249.51685208,169326136.8534931,175512504.08929598,181080043.41061506,188078649.22070917,194292826.047841,200411547.00325984,206178362.34087878,212530317.33383468,219295521.48371837,225755435.24705386,234175061.08134323,242721875.09305662,252340938.04961404,261870064.09808195,272284102.2971975,280800530.9341966,289633498.8835465,298077207.0436139,306882608.92144465,317559479.0920653,327777004.6026194,338322583.6968422,349216930.45671135,360478084.76168287,372113163.10158753,384108389.2784397,396456131.58647215,409110833.713907,422039130.04511404
appliances,2890137290.2646174,2991741636.053976,3258234826.735076,3375827834.69515,3491495284.7928824,3608062706.256928,3730787907.349336,3852611077.8525653,3975555252.38535,4109196068.3897653,4260655406.8343253,4410678059.56822,4560576454.397562,4713955512.464462,4872880867.9876585,5029566502.7147665,5188888440.253713,5363857492.668417,5538436344.715962,5725808968.440818,5932275197.500861,6151814745.932042,6353750195.411048,6546064461.273559,6721508080.535009,6891293163.010043,7133584816.260057,7351701800.806959,7576716051.773656,7809072853.853925,8049155861.700152,8297103694.780285,8552589741.300915,8815426534.968985,9084586121.108946,9359316898.598486
other component,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
