Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
transportation sector,0.7334905475,0.7313935467,0.729296546,0.7271995452,0.7251025445,0.7230055437,0.7208902961,0.7187750484,0.7166598007,0.714544553,0.7124293053,0.710268899,0.7081084926,0.7059480863,0.7037876799,0.7016272736,0.6994735142,0.6973197548,0.6951659954,0.693012236,0.6908584766,0.6887920946,0.6867257125,0.6846593305,0.6825929485,0.6805265664,0.6786147588,0.6767029512,0.6747911436,0.6728793359,0.6709675283,0.6690557207,0.6671439131,0.6652321054,0.6633202978,0.6614084902,0.6594966826,0.657584875,0.6556730673,0.6537612597,0.6518494521,0.6499376445,0.6480258369,0.6461140292,0.6442022216,0.642290414,0.6403786064,0.6384667987,0.6365549911,0.6346431835,0.6327313759
electricity sector,0.8848098083,0.8822801958,0.8797505834,0.8772209709,0.8746913584,0.872161746,0.8696101222,0.8670584985,0.8645068748,0.861955251,0.8594036273,0.8567975286,0.85419143,0.8515853313,0.8489792327,0.846373134,0.8437750536,0.8411769732,0.8385788927,0.8359808123,0.8333827318,0.8308900547,0.8283973776,0.8259047005,0.8234120234,0.8209193463,0.8186131324,0.8163069184,0.8140007045,0.8116944905,0.8093882766,0.8070820626,0.8047758487,0.8024696347,0.8001634208,0.7978572068,0.7955509928,0.7932447789,0.7909385649,0.788632351,0.786326137,0.7840199231,0.7817137091,0.7794074952,0.7771012812,0.7747950673,0.7724888533,0.7701826394,0.7678764254,0.7655702114,0.7632639975
residential buildings sector,0.8519667691,0.8495310528,0.8470953364,0.84465962,0.8422239036,0.8397881872,0.8373312766,0.8348743659,0.8324174553,0.8299605446,0.827503634,0.8249942705,0.822484907,0.8199755435,0.8174661799,0.8149568164,0.8124551735,0.8099535306,0.8074518877,0.8049502447,0.8024486018,0.8000484498,0.7976482978,0.7952481457,0.7928479937,0.7904478417,0.7882272315,0.7860066213,0.7837860112,0.781565401,0.7793447909,0.7771241807,0.7749035705,0.7726829604,0.7704623502,0.7682417401,0.7660211299,0.7638005197,0.7615799096,0.7593592994,0.7571386892,0.7549180791,0.7526974689,0.7504768588,0.7482562486,0.7460356384,0.7438150283,0.7415944181,0.739373808,0.7371531978,0.7349325876
commercial buildings sector,0.8519667691,0.8495310528,0.8470953364,0.84465962,0.8422239036,0.8397881872,0.8373312766,0.8348743659,0.8324174553,0.8299605446,0.827503634,0.8249942705,0.822484907,0.8199755435,0.8174661799,0.8149568164,0.8124551735,0.8099535306,0.8074518877,0.8049502447,0.8024486018,0.8000484498,0.7976482978,0.7952481457,0.7928479937,0.7904478417,0.7882272315,0.7860066213,0.7837860112,0.781565401,0.7793447909,0.7771241807,0.7749035705,0.7726829604,0.7704623502,0.7682417401,0.7660211299,0.7638005197,0.7615799096,0.7593592994,0.7571386892,0.7549180791,0.7526974689,0.7504768588,0.7482562486,0.7460356384,0.7438150283,0.7415944181,0.739373808,0.7371531978,0.7349325876
industry sector,0.839450499,0.8370505658,0.8346506326,0.8322506994,0.8298507662,0.8274508329,0.8250300169,0.8226092008,0.8201883847,0.8177675686,0.8153467525,0.8128742541,0.8104017557,0.8079292574,0.805456759,0.8029842606,0.8005193694,0.7980544782,0.795589587,0.7931246958,0.7906598046,0.7882949132,0.7859300219,0.7835651306,0.7812002393,0.778835348,0.7766473608,0.7744593737,0.7722713866,0.7700833995,0.7678954124,0.7657074253,0.7635194382,0.7613314511,0.759143464,0.7569554769,0.7547674898,0.7525795026,0.7503915155,0.7482035284,0.7460155413,0.7438275542,0.7416395671,0.73945158,0.7372635929,0.7350756058,0.7328876187,0.7306996316,0.7285116444,0.7263236573,0.7241356702
district heat and hydrogen sector,0.8848098083,0.8822801958,0.8797505834,0.8772209709,0.8746913584,0.872161746,0.8696101222,0.8670584985,0.8645068748,0.861955251,0.8594036273,0.8567975286,0.85419143,0.8515853313,0.8489792327,0.846373134,0.8437750536,0.8411769732,0.8385788927,0.8359808123,0.8333827318,0.8308900547,0.8283973776,0.8259047005,0.8234120234,0.8209193463,0.8186131324,0.8163069184,0.8140007045,0.8116944905,0.8093882766,0.8070820626,0.8047758487,0.8024696347,0.8001634208,0.7978572068,0.7955509928,0.7932447789,0.7909385649,0.788632351,0.786326137,0.7840199231,0.7817137091,0.7794074952,0.7771012812,0.7747950673,0.7724888533,0.7701826394,0.7678764254,0.7655702114,0.7632639975
LULUCF sector,0.8345252357,0.8321393835,0.8297535313,0.8273676791,0.8249818269,0.8225959747,0.8201893621,0.8177827495,0.815376137,0.8129695244,0.8105629118,0.8081049202,0.8056469286,0.803188937,0.8007309454,0.7982729538,0.7958225247,0.7933720956,0.7909216665,0.7884712374,0.7860208083,0.7836697924,0.7813187765,0.7789677606,0.7766167446,0.7742657287,0.7720905791,0.7699154294,0.7677402798,0.7655651301,0.7633899805,0.7612148308,0.7590396812,0.7568645315,0.7546893819,0.7525142322,0.7503390826,0.7481639329,0.7459887833,0.7438136336,0.741638484,0.7394633344,0.7372881847,0.7351130351,0.7329378854,0.7307627358,0.7285875861,0.7264124365,0.7242372868,0.7220621372,0.7198869875
geoengineering sector,0.839450499,0.8370505658,0.8346506326,0.8322506994,0.8298507662,0.8274508329,0.8250300169,0.8226092008,0.8201883847,0.8177675686,0.8153467525,0.8128742541,0.8104017557,0.8079292574,0.805456759,0.8029842606,0.8005193694,0.7980544782,0.795589587,0.7931246958,0.7906598046,0.7882949132,0.7859300219,0.7835651306,0.7812002393,0.778835348,0.7766473608,0.7744593737,0.7722713866,0.7700833995,0.7678954124,0.7657074253,0.7635194382,0.7613314511,0.759143464,0.7569554769,0.7547674898,0.7525795026,0.7503915155,0.7482035284,0.7460155413,0.7438275542,0.7416395671,0.73945158,0.7372635929,0.7350756058,0.7328876187,0.7306996316,0.7285116444,0.7263236573,0.7241356702
