Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
transportation sector,0.5098864969,0.5098160081,0.5097455194,0.5096750306,0.5096045419,0.5095340531,0.5094901201,0.509446187,0.509402254,0.5093583209,0.5093143879,0.5092698541,0.5092253204,0.5091807866,0.5091362529,0.5090917191,0.509019558,0.5089473969,0.5088752358,0.5088030747,0.5087309136,0.5086196655,0.5085084174,0.5083971693,0.5082859212,0.5081746731,0.5080310426,0.507887412,0.5077437815,0.507600151,0.5074565205,0.50731289,0.5071692595,0.507025629,0.5068819984,0.5067383679,0.5065947374,0.5064511069,0.5063074764,0.5061638459,0.5060202154,0.5058765848,0.5057329543,0.5055893238,0.5054456933,0.5053020628,0.5051584323,0.5050148017,0.5048711712,0.5047275407,0.5045839102
electricity sector,0.5093157688,0.509245359,0.5091749491,0.5091045393,0.5090341294,0.5089637196,0.5089198357,0.5088759518,0.508832068,0.5087881841,0.5087443002,0.5086998163,0.5086553324,0.5086108485,0.5085663646,0.5085218807,0.5084498004,0.50837772,0.5083056397,0.5082335594,0.5081614791,0.5080503555,0.5079392319,0.5078281083,0.5077169847,0.5076058611,0.5074623914,0.5073189216,0.5071754519,0.5070319821,0.5068885124,0.5067450426,0.5066015729,0.5064581031,0.5063146334,0.5061711636,0.5060276939,0.5058842242,0.5057407544,0.5055972847,0.5054538149,0.5053103452,0.5051668754,0.5050234057,0.5048799359,0.5047364662,0.5045929964,0.5044495267,0.504306057,0.5041625872,0.5040191175
residential buildings sector,0.5094512757,0.5093808471,0.5093104185,0.5092399899,0.5091695614,0.5090991328,0.5090552372,0.5090113417,0.5089674461,0.5089235506,0.508879655,0.5088351593,0.5087906635,0.5087461678,0.5087016721,0.5086571763,0.5085850768,0.5085129773,0.5084408778,0.5083687783,0.5082966788,0.5081855256,0.5080743725,0.5079632193,0.5078520662,0.507740913,0.5075974051,0.5074538972,0.5073103893,0.5071668814,0.5070233734,0.5068798655,0.5067363576,0.5065928497,0.5064493418,0.5063058339,0.5061623259,0.506018818,0.5058753101,0.5057318022,0.5055882943,0.5054447864,0.5053012784,0.5051577705,0.5050142626,0.5048707547,0.5047272468,0.5045837389,0.5044402309,0.504296723,0.5041532151
commercial buildings sector,0.5094512757,0.5093808471,0.5093104185,0.5092399899,0.5091695614,0.5090991328,0.5090552372,0.5090113417,0.5089674461,0.5089235506,0.508879655,0.5088351593,0.5087906635,0.5087461678,0.5087016721,0.5086571763,0.5085850768,0.5085129773,0.5084408778,0.5083687783,0.5082966788,0.5081855256,0.5080743725,0.5079632193,0.5078520662,0.507740913,0.5075974051,0.5074538972,0.5073103893,0.5071668814,0.5070233734,0.5068798655,0.5067363576,0.5065928497,0.5064493418,0.5063058339,0.5061623259,0.506018818,0.5058753101,0.5057318022,0.5055882943,0.5054447864,0.5053012784,0.5051577705,0.5050142626,0.5048707547,0.5047272468,0.5045837389,0.5044402309,0.504296723,0.5041532151
industry sector,0.5103324446,0.5102618942,0.5101913438,0.5101207934,0.510050243,0.5099796926,0.5099357211,0.5098917496,0.5098477782,0.5098038067,0.5097598352,0.5097152625,0.5096706898,0.5096261171,0.5095815444,0.5095369717,0.5094647475,0.5093925233,0.5093202991,0.5092480749,0.5091758507,0.5090645053,0.5089531598,0.5088418144,0.508730469,0.5086191236,0.5084753675,0.5083316113,0.5081878552,0.5080440991,0.5079003429,0.5077565868,0.5076128307,0.5074690745,0.5073253184,0.5071815623,0.5070378061,0.50689405,0.5067502939,0.5066065377,0.5064627816,0.5063190255,0.5061752693,0.5060315132,0.5058877571,0.5057440009,0.5056002448,0.5054564887,0.5053127325,0.5051689764,0.5050252203
district heat and hydrogen sector,0.5093157688,0.509245359,0.5091749491,0.5091045393,0.5090341294,0.5089637196,0.5089198357,0.5088759518,0.508832068,0.5087881841,0.5087443002,0.5086998163,0.5086553324,0.5086108485,0.5085663646,0.5085218807,0.5084498004,0.50837772,0.5083056397,0.5082335594,0.5081614791,0.5080503555,0.5079392319,0.5078281083,0.5077169847,0.5076058611,0.5074623914,0.5073189216,0.5071754519,0.5070319821,0.5068885124,0.5067450426,0.5066015729,0.5064581031,0.5063146334,0.5061711636,0.5060276939,0.5058842242,0.5057407544,0.5055972847,0.5054538149,0.5053103452,0.5051668754,0.5050234057,0.5048799359,0.5047364662,0.5045929964,0.5044495267,0.504306057,0.5041625872,0.5040191175
LULUCF sector,0.5064243835,0.5063543734,0.5062843632,0.5062143531,0.506144343,0.5060743328,0.5060306981,0.5059870633,0.5059434286,0.5058997938,0.5058561591,0.5058119277,0.5057676964,0.505723465,0.5056792336,0.5056350023,0.5055633311,0.50549166,0.5054199889,0.5053483177,0.5052766466,0.5051661539,0.5050556611,0.5049451684,0.5048346757,0.5047241829,0.5045815276,0.5044388724,0.5042962171,0.5041535618,0.5040109066,0.5038682513,0.503725596,0.5035829408,0.5034402855,0.5032976302,0.503154975,0.5030123197,0.5028696644,0.5027270092,0.5025843539,0.5024416986,0.5022990434,0.5021563881,0.5020137328,0.5018710776,0.5017284223,0.501585767,0.5014431117,0.5013004565,0.5011578012
geoengineering sector,0.5103324446,0.5102618942,0.5101913438,0.5101207934,0.510050243,0.5099796926,0.5099357211,0.5098917496,0.5098477782,0.5098038067,0.5097598352,0.5097152625,0.5096706898,0.5096261171,0.5095815444,0.5095369717,0.5094647475,0.5093925233,0.5093202991,0.5092480749,0.5091758507,0.5090645053,0.5089531598,0.5088418144,0.508730469,0.5086191236,0.5084753675,0.5083316113,0.5081878552,0.5080440991,0.5079003429,0.5077565868,0.5076128307,0.5074690745,0.5073253184,0.5071815623,0.5070378061,0.50689405,0.5067502939,0.5066065377,0.5064627816,0.5063190255,0.5061752693,0.5060315132,0.5058877571,0.5057440009,0.5056002448,0.5054564887,0.5053127325,0.5051689764,0.5050252203
