Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,38248681430315.3,36949344858224.73,37125903850357.14,35130141600108.65,37016369529983.79,36499838887681.51,36111898469414.47,38068823523881.35,38332621714843.91,39164471054997.51,39788210560984.31,40102285819407.87,40277430171066.625,40497237950956.04,40841091561909.4,41460487070897.13,42133392891617.19,42676581779349.36,43198882569688.125,43743746181298.54,44381471195986.72,44858471202111.914,45268908919603.23,45658580128651.79,46037012033114.0,46611820157540.086,47253718442115.055,47760960129024.85,48014963542219.09,48360183683139.67,48722542544225.11,49077604039323.8,49462066935743.15,49531656397726.83,49584974250378.26,49776691848121.31
iron and steel 241,8536202676573.439,8014092592358.123,7587753551790.594,8096031341707.727,7764827586206.896,6840287135015.246,7893891227954.333,8041080728108.003,8050903215443.766,7966850414516.88,8020603319701.656,7970606825694.106,7862575122267.281,7743787140927.197,7650213432285.514,7581547155272.702,7483809917181.173,7417430607342.688,7317890812951.851,7246574301660.472,7209107982013.804,7175935671740.465,7128282648353.3545,7070597655819.728,6968928027800.594,6872118447208.176,6860156923819.402,6892428670855.26,6936191098375.339,6885938087147.743,6831871893878.286,6871480601219.768,6864709345674.547,6713465605560.21,6603226244070.427,6634884709367.952
other metals 242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal products except machinery and vehicles 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy pipelines and gas processing 352T353,1592920322409.365,1656918067186.345,1707178674132.4646,1654825862997.4192,1884639053254.4375,1821540025600.014,1789990521477.131,1779762097255.3828,1777663525956.3005,1776296980169.5337,1763775033758.5886,1779728522921.0725,1784796972031.6155,1820401349971.3997,1833839428915.4219,1840987106241.0776,1873012210377.4573,1912413582376.137,1964511280744.9324,1987865917446.4775,2011104249616.7383,2039813442476.5625,2083668560463.696,2130831176655.1191,2179283585631.818,2227917549684.16,2281341125750.056,2339778311462.239,2406564180526.267,2465774380644.644,2526085123127.461,2604924294866.534,2683533071016.755,2759933411183.2725,2834905313302.5493,2925665212692.195
water and waste 36T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction 41T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
