BAU Cargo Dist Transported Relative to Start Year (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
LDVs,1,1.0420984897,1.086356446,1.1306144024,1.1748723588,1.2191303151,1.2633882715,1.3076462279,1.3519041842,1.3961621406,1.440420097,1.4846780534,1.5289360097,1.5731939661,1.6174519225,1.6617098788,1.7059678352,1.7502257916,1.7944837479,1.8387417043,1.8829996607,1.9272576171,1.9715155734,2.0157735298,2.0600314862,2.1042894425,2.1485473989,2.1928053553,2.2370633116,2.281321268,2.3255792244,2.3698371808,2.4139601705,2.4582058571,2.5024515438,2.5466972305,2.5909429171,2.6351886038,2.6794342905,2.7236799772,2.7679256638,2.8121713505,2.8564170372,2.9006627239,2.9449084105,2.9891540972,3.0333997839,3.0776454706,3.1218911572,3.1661368439,3.2103825306,3.2546282172
HDVs,1,1.0420984897,1.086356446,1.1306144024,1.1748723588,1.2191303151,1.2633882715,1.3076462279,1.3519041842,1.3961621406,1.440420097,1.4846780534,1.5289360097,1.5731939661,1.6174519225,1.6617098788,1.7059678352,1.7502257916,1.7944837479,1.8387417043,1.8829996607,1.9272576171,1.9715155734,2.0157735298,2.0600314862,2.1042894425,2.1485473989,2.1928053553,2.2370633116,2.281321268,2.3255792244,2.3698371808,2.4139601705,2.4582058571,2.5024515438,2.5466972305,2.5909429171,2.6351886038,2.6794342905,2.7236799772,2.7679256638,2.8121713505,2.8564170372,2.9006627239,2.9449084105,2.9891540972,3.0333997839,3.0776454706,3.1218911572,3.1661368439,3.2103825306,3.2546282172
aircraft,1,1.0916707323,1.1325083617,1.173345991,1.2141836204,1.2550212498,1.2958588791,1.3366965085,1.3775341379,1.4183717673,1.4592093966,1.500047026,1.5408846554,1.5817222847,1.6225599141,1.6633975435,1.7042351728,1.7450728022,1.7859104316,1.8267480609,1.8675856903,1.9084233197,1.9492609491,1.9900985784,2.0309362078,2.0717738372,2.1126114665,2.1534490959,2.1942867253,2.2351243546,2.275961984,2.3167996134,2.3608143117,2.4019407655,2.4430672193,2.4841936731,2.5253201269,2.5664465808,2.6075730346,2.6486994884,2.6898259422,2.730952396,2.7720788499,2.8132053037,2.8543317575,2.8954582113,2.9365846651,2.9777111189,3.0188375728,3.0599640266,3.1010904804,3.1422169342
rail,1,0.7403205128,1.2146282051,1.3082115385,1.4017948718,1.4953782051,1.5889615385,1.6825448718,1.7761282051,1.8697115385,1.9632948718,2.0568782051,2.1504615385,2.2440448718,2.3376282051,2.4312115385,2.5247948718,2.6183782051,2.7119615385,2.8055448718,2.8991282051,2.9927115385,3.0862948718,3.1798782051,3.2734615385,3.3670448718,3.4606282051,3.5542115385,3.6477948718,3.7413782051,3.8349615385,3.9285448718,4.0453370554,4.1411000651,4.2368630748,4.3326260844,4.4283890941,4.5241521038,4.6199151134,4.7156781231,4.8114411328,4.9072041425,5.0029671521,5.0987301618,5.1944931715,5.2902561812,5.3860191908,5.4817822005,5.5775452102,5.6733082198,5.7690712295,5.8648342392
ships,1,1.0459566787,1.0641942997,1.0769981802,1.0830638486,1.0989290099,1.1202282354,1.1430437474,1.174691701,1.2041417609,1.2147051067,1.245505956,1.2506394733,1.2586404533,1.2771869314,1.2804465474,1.3027322494,1.3115659654,1.3355480809,1.3559578669,1.3792264751,1.3944533023,1.4176320843,1.4362773586,1.4519368731,1.4677839753,1.4856891563,1.5037114916,1.5213622462,1.5378880086,1.553898496,1.5698125532,1.5924347645,1.610226553,1.6280183416,1.6458101301,1.6636019187,1.6813937072,1.6991854957,1.7169772843,1.7347690728,1.7525608614,1.7703526499,1.7881444385,1.805936227,1.8237280155,1.8415198041,1.8593115926,1.8771033812,1.8948951697,1.9126869583,1.9304787468
motorbikes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
