BAU Cargo Dist Transported Relative to Start Year (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
LDVs,1,1.0131683865,1.0526492394,1.1114445699,1.1497737157,1.1870116626,1.2243728851,1.2651928776,1.3112430277,1.3513664468,1.3887558079,1.4300346301,1.4717122365,1.5131274644,1.5535489789,1.59331213,1.6343391315,1.6757102989,1.716321476,1.7568364652,1.7974665872,1.8383312725,1.8792508381,1.9199111782,1.9605406122,2.0013213593,2.0421201358,2.0828817967,2.1235939346,2.1643099864,2.2050775014,2.2458438639,2.2862805772,2.3270010468,2.3677215165,2.4084419861,2.4491624558,2.4898829254,2.5306033951,2.5713238647,2.6120443344,2.652764804,2.6934852736,2.7342057433,2.7749262129,2.8156466826,2.8563671522,2.8970876219,2.9378080915,2.9785285612,3.0192490308,3.0599695005
HDVs,1,1.038084545,1.0775568405,1.1162984165,1.1544567986,1.1934175607,1.2322326291,1.2707336655,1.3094217127,1.3482262532,1.3868483049,1.4255096948,1.4642415215,1.5029264151,1.5415885,1.5802920205,1.6189851193,1.6576625556,1.6963515922,1.7350449734,1.7737289658,1.8124156744,1.8511058357,1.8897931647,1.9284796986,1.9671683546,2.0058563125,2.0445435163,2.0832314045,2.1219194293,2.1606069759,2.1992946996,2.2379995841,2.276688909,2.3153782339,2.3540675588,2.3927568837,2.4314462086,2.4701355335,2.5088248583,2.5475141832,2.5862035081,2.624892833,2.6635821579,2.7022714828,2.7409608077,2.7796501326,2.8183394575,2.8570287823,2.8957181072,2.9344074321,2.973096757
aircraft,1,1.1344097977,1.2001029725,1.2657961473,1.3314893221,1.3971824969,1.4628756716,1.5285688464,1.5942620212,1.659955196,1.7256483708,1.7913415456,1.8570347204,1.9227278951,1.9884210699,2.0541142447,2.1198074195,2.1855005943,2.2511937691,2.3168869439,2.3825801186,2.4482732934,2.5139664682,2.579659643,2.6453528178,2.7110459926,2.7767391673,2.8424323421,2.9081255169,2.9738186917,3.0395118665,3.1052050413,3.175193005,3.2412766151,3.3073602253,3.3734438354,3.4395274456,3.5056110557,3.5716946658,3.637778276,3.7038618861,3.7699454963,3.8360291064,3.9021127166,3.9681963267,4.0342799368,4.100363547,4.1664471571,4.2325307673,4.2986143774,4.3646979876,4.4307815977
rail,1,0.3663353715,0.8550608423,0.8867536042,0.9184463661,0.950139128,0.9818318899,1.0135246518,1.0452174137,1.0769101756,1.1086029375,1.1402956993,1.1719884612,1.2036812231,1.235373985,1.2670667469,1.2987595088,1.3304522707,1.3621450326,1.3938377945,1.4255305564,1.4572233183,1.4889160802,1.520608842,1.5523016039,1.5839943658,1.6156871277,1.6473798896,1.6790726515,1.7107654134,1.7424581753,1.7741509372,1.81862364,1.8515619817,1.8845003234,1.9174386651,1.9503770068,1.9833153485,2.0162536902,2.0491920319,2.0821303736,2.1150687153,2.148007057,2.1809453987,2.2138837404,2.2468220821,2.2797604238,2.3126987655,2.3456371072,2.3785754489,2.4115137906,2.4444521323
ships,1,1.0027171158,1.0086308089,1.006675884,1.0476296188,1.0721768711,1.0851508435,1.1163971817,1.1522601278,1.1883120806,1.2144927787,1.2307186035,1.2417735031,1.2520666466,1.2726205868,1.2759908082,1.2864950363,1.2994772805,1.3309342069,1.3550473518,1.3772527506,1.3958635898,1.4118375862,1.4295656272,1.4573466577,1.4786353735,1.4987570096,1.5176163142,1.5341072179,1.5516508658,1.5691430772,1.5855611693,1.6129292582,1.6325634091,1.65219756,1.6718317109,1.6914658619,1.7111000128,1.7307341637,1.7503683146,1.7700024656,1.7896366165,1.8092707674,1.8289049183,1.8485390693,1.8681732202,1.8878073711,1.907441522,1.9270756729,1.9467098239,1.9663439748,1.9859781257
motorbikes,1,1.0523083708,1.1058281403,1.1593479097,1.2128676792,1.2663874486,1.3199072181,1.3734269876,1.426946757,1.4804665265,1.5339862959,1.5875060654,1.6410258348,1.6945456043,1.7480653737,1.8015851432,1.8551049127,1.9086246821,1.9621444516,2.015664221,2.0691839905,2.1227037599,2.1762235294,2.2297432989,2.2832630683,2.3367828378,2.3903026072,2.4438223767,2.4973421461,2.5508619156,2.604381685,2.6579014545,2.7113455115,2.7648583981,2.8183712846,2.8718841711,2.9253970576,2.9789099441,3.0324228306,3.0859357171,3.1394486036,3.1929614901,3.2464743766,3.2999872631,3.3535001497,3.4070130362,3.4605259227,3.5140388092,3.5675516957,3.6210645822,3.6745774687,3.7280903552
