Unit: dimensionless (% change),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
ISIC 55T56,0.0579,-0.1026,0.0388,0.1194,0.1,0.0846,0.0741,0.094525,0.08830625,0.0853828125,0.0855785156,0.0884481445,0.0869289307,0.0865846008,0.0868850479,0.087211681,0.0869025651,0.0868959737,0.0869738169,0.0869960092,0.0869420912,0.0869519728,0.0869659725,0.0869640114,0.086956012,0.0869594922,0.086961372,0.0869602219,0.0869592745,0.0869600902,0.0869602396,0.0869599566,0.0869598902,0.0869600441,0.0869600326,0.0869599809,0.086959987,0.0869600112,0.0869600029,0.0869599955,0.0869599991,0.0869600022,0.0869599999,0.0869599992,0.0869600001,0.0869600003,0.0869599999,0.0869599999,0.0869600001,0.08696,0.08696,0.08696
ISIC 58T60,0.0942,0.1061,0.0682,0.0773,0.0759,0.0757,0.0835,0.0781,0.0783,0.0789,0.0797,0.07875,0.0789125,0.079065625,0.0791070312,0.0789587891,0.0790109863,0.0790356079,0.0790281036,0.0790083717,0.0790207674,0.0790232127,0.0790201139,0.0790181164,0.0790205526,0.0790204989,0.0790198204,0.0790197471,0.0790201547,0.0790200553,0.0790199444,0.0790199754,0.0790200325,0.0790200019,0.0790199885,0.0790199996,0.0790200056,0.0790199989,0.0790199981,0.0790200005,0.0790200008,0.0790199996,0.0790199998,0.0790200002,0.0790200001,0.0790199999,0.07902,0.07902,0.07902,0.07902,0.07902,0.07902
ISIC 61,0.0942,0.1061,0.0682,0.0773,0.0759,0.0757,0.0835,0.0781,0.0783,0.0789,0.0797,0.07875,0.0789125,0.079065625,0.0791070312,0.0789587891,0.0790109863,0.0790356079,0.0790281036,0.0790083717,0.0790207674,0.0790232127,0.0790201139,0.0790181164,0.0790205526,0.0790204989,0.0790198204,0.0790197471,0.0790201547,0.0790200553,0.0790199444,0.0790199754,0.0790200325,0.0790200019,0.0790199885,0.0790199996,0.0790200056,0.0790199989,0.0790199981,0.0790200005,0.0790200008,0.0790199996,0.0790199998,0.0790200002,0.0790200001,0.0790199999,0.07902,0.07902,0.07902,0.07902,0.07902,0.07902
ISIC 62T63,0.1025,-0.0544,0.0073,0.0877,0.0824,0.0838,0.091,0.086225,0.08585625,0.0867203125,0.0874503906,0.0865629883,0.0866474854,0.0868452942,0.0868765396,0.0867330769,0.086775599,0.0868076274,0.0867982107,0.0867786285,0.0867900164,0.0867936208,0.0867901191,0.0867880962,0.0867904631,0.0867905748,0.0867898133,0.0867897369,0.086790147,0.086790068,0.0867899413,0.0867899733,0.0867900324,0.0867900037,0.0867899877,0.0867899993,0.0867900058,0.0867899991,0.086789998,0.0867900005,0.0867900008,0.0867899996,0.0867899997,0.0867900002,0.0867900001,0.0867899999,0.08679,0.08679,0.08679,0.08679,0.08679,0.08679
ISIC 64T66,0.0661,0.0325,0.0156,0.0193,0.0477,0.0474,0.0396,0.0385,0.0433,0.0422,0.0409,0.041225,0.04190625,0.0415578125,0.0413972656,0.041521582,0.0415957275,0.0415180969,0.041508168,0.0415358936,0.0415394715,0.0415254075,0.0415272352,0.041532002,0.0415310291,0.0415289184,0.0415297962,0.0415304364,0.041530045,0.041529799,0.0415300191,0.0415300749,0.0415299845,0.0415299694,0.041530012,0.0415300102,0.041529994,0.0415299964,0.0415300031,0.0415300009,0.0415299986,0.0415299998,0.0415300006,0.04153,0.0415299998,0.04153,0.0415300001,0.04153,0.04153,0.04153,0.04153,0.04153
ISIC 68,0.0576,0.0232,0.0278,0.0172,0.0143,0.025,0.0358,0.023075,0.02454375,0.0271046875,0.0276308594,0.0255885742,0.0262169678,0.0266352722,0.0265179184,0.0262396832,0.0264024604,0.0264488335,0.0264022239,0.0263733002,0.0264067045,0.0264077655,0.0263974985,0.0263963172,0.0264020714,0.0264009132,0.0263992001,0.0263996255,0.0264004525,0.0264000478,0.0263998315,0.0263999893,0.0264000803,0.0263999872,0.0263999721,0.0264000072,0.0264000117,0.0263999946,0.0263999964,0.0264000025,0.0264000013,0.0263999987,0.0263999997,0.0264000005,0.0264000001,0.0263999998,0.0264,0.0264000001,0.0264,0.0264,0.0264,0.0264
ISIC 69T82,0.063,0.0261,0.0011,0.0055,0.0177,0.0376,0.0499,0.027675,0.03321875,0.0370984375,0.0369730469,0.0337413086,0.0352578857,0.0357676697,0.0354349777,0.0350504604,0.0353777484,0.0354077141,0.0353177252,0.035288412,0.0353478999,0.0353404378,0.0353236187,0.0353250921,0.0353342621,0.0353308527,0.0353284564,0.0353296658,0.0353308093,0.035329946,0.0353297194,0.0353300351,0.0353301275,0.035329957,0.0353299597,0.0353300198,0.035330016,0.0353299881,0.0353299959,0.035330005,0.0353300013,0.0353299976,0.0353299999,0.0353300009,0.0353299999,0.0353299996,0.0353300001,0.0353300001,0.0353299999,0.0353299999,0.03533,0.03533
ISIC 84,0.0466,-0.0003,-0.0033,0.0252,0.0151,0.0643,0.0386,0.0358,0.03845,0.0442875,0.039284375,0.0394554688,0.0403693359,0.0408491699,0.0399895874,0.0401658905,0.0403434959,0.0403370359,0.0402090024,0.0402638562,0.0402883476,0.0402745606,0.0402589417,0.0402714265,0.0402733191,0.040269562,0.0402683123,0.040270655,0.0402704621,0.0402697478,0.0402697943,0.0402701648,0.0402700423,0.0402699373,0.0402699847,0.0402700323,0.0402699991,0.0402699883,0.0402700011,0.0402700052,0.0402699984,0.0402699983,0.0402700008,0.0402700007,0.0402699995,0.0402699998,0.0402700002,0.0402700001,0.0402699999,0.04027,0.04027,0.04027
ISIC 85,0.063,0.0261,0.0011,0.0055,0.0177,0.0376,0.0499,0.027675,0.03321875,0.0370984375,0.0369730469,0.0337413086,0.0352578857,0.0357676697,0.0354349777,0.0350504604,0.0353777484,0.0354077141,0.0353177252,0.035288412,0.0353478999,0.0353404378,0.0353236187,0.0353250921,0.0353342621,0.0353308527,0.0353284564,0.0353296658,0.0353308093,0.035329946,0.0353297194,0.0353300351,0.0353301275,0.035329957,0.0353299597,0.0353300198,0.035330016,0.0353299881,0.0353299959,0.035330005,0.0353300013,0.0353299976,0.0353299999,0.0353300009,0.0353299999,0.0353299996,0.0353300001,0.0353300001,0.0353299999,0.0353299999,0.03533,0.03533
ISIC 86T88,0.0866,0.1156,0.1045,0.0275,0.0467,0.0813,0.0559,0.05285,0.0591875,0.062309375,0.0575617188,0.0579771484,0.0592589355,0.0592767944,0.0585186493,0.0587578819,0.0589530653,0.0588765977,0.0587765486,0.0588410234,0.0588618087,0.0588389946,0.0588295938,0.0588428551,0.0588433131,0.0588386892,0.0588386128,0.0588408675,0.0588403706,0.058839635,0.0588398715,0.0588401862,0.0588400158,0.0588399271,0.0588400002,0.0588400323,0.0588399939,0.0588399884,0.0588400037,0.0588400046,0.0588399976,0.0588399986,0.0588400011,0.0588400005,0.0588399994,0.0588399999,0.0588400002,0.05884,0.0588399999,0.05884,0.05884,0.05884
ISIC 90T96,0.1057,-0.041,0.0212,0.0947,0.1052,0.098,0.0993,0.0993,0.10045,0.0992625,0.099578125,0.0996476562,0.0997345703,0.0995557129,0.0996290161,0.0996417389,0.0996402596,0.0996166819,0.0996319241,0.0996326511,0.0996303792,0.0996279091,0.0996307159,0.0996304138,0.0996298545,0.0996297233,0.0996301769,0.0996300421,0.0996299492,0.0996299729,0.0996300352,0.0996299998,0.0996299893,0.0996299993,0.0996300059,0.0996299986,0.0996299983,0.0996300005,0.0996300008,0.0996299996,0.0996299998,0.0996300002,0.0996300001,0.0996299999,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963
ISIC 97T98,0.1057,-0.041,0.0212,0.0947,0.1052,0.098,0.0993,0.0993,0.10045,0.0992625,0.099578125,0.0996476562,0.0997345703,0.0995557129,0.0996290161,0.0996417389,0.0996402596,0.0996166819,0.0996319241,0.0996326511,0.0996303792,0.0996279091,0.0996307159,0.0996304138,0.0996298545,0.0996297233,0.0996301769,0.0996300421,0.0996299492,0.0996299729,0.0996300352,0.0996299998,0.0996299893,0.0996299993,0.0996300059,0.0996299986,0.0996299983,0.0996300005,0.0996300008,0.0996299996,0.0996299998,0.0996300002,0.0996300001,0.0996299999,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963,0.09963
